n_features,method,adjusted_r_squared,,,,
28,TVS-BART,0.643297311,0.643297311,0.637013463,0.594025577,0.594025577
29,TVS-BART,0.643340353,0.636828643,0.593066921,0.645529362,0.643340353
30,TVS-BART,0.645778015,0.642933885,0.592859619,0.59361195,0.636643634
1,DART,0.412983466,0.451132348,0.493662238,0.524218793,0.547231034
2,DART,0.562332815,0.595964671,0.588615516,0.560578966,0.603309699
3,DART,0.573770046,0.505954951,0.516872895,0.553818495,0.60047825
4,DART,0.583420149,0.622890266,0.578602107,0.611209509,0.61826344
5,DART,0.610893102,0.599223534,0.612164071,0.602035821,0.631829863
6,DART,0.579389875,0.628752826,0.632550976,0.603935413,0.619121763
7,DART,0.614523304,0.635125909,0.608507941,0.626024195,0.624382451
8,DART,0.597596006,0.612191194,0.632748902,0.607638719,0.639063731
9,DART,0.629275321,0.641241149,0.631052737,0.620386443,0.598454929
10,DART,0.621858735,0.637321314,0.661641655,0.600471804,0.614866975
11,DART,0.596789053,0.619606029,0.627786346,0.629336877,0.621101657
12,DART,0.631842348,0.612435793,0.626791269,0.652068354,0.629450597
13,DART,0.639656808,0.651396905,0.630607022,0.615786166,0.642185837
14,DART,0.629123248,0.628686372,0.641318562,0.644741149,0.654990358
15,DART,0.611405635,0.590825812,0.65026758,0.623704723,0.653789259
16,DART,0.632857093,0.626776193,0.590704503,0.652172432,0.639156728
17,DART,0.634578832,0.624652815,0.644732881,0.633874525,0.629176994
18,DART,0.63572327,0.637218807,0.639593776,0.639983509,0.62894159
19,DART,0.639014344,0.632299125,0.585104578,0.603076549,0.650324364
20,DART,0.653673827,0.643426224,0.57529722,0.647632823,0.640777519
21,DART,0.602445211,0.633361762,0.597906597,0.646533043,0.636399859
22,DART,0.590778369,0.647223873,0.631480958,0.583481977,0.618156992
23,DART,0.63269077,0.629786646,0.58046006,0.645030562,0.639127105
24,DART,0.594850309,0.60183949,0.65263239,0.635124363,0.60183949
25,DART,0.641339971,0.634758743,0.629377171,0.593924157,0.59464444
26,DART,0.629343963,0.649370757,0.605567867,0.583952719,0.580817336
27,DART,0.657956722,0.635567119,0.670109642,0.564165178,0.618325238
28,DART,0.630232817,0.646612954,0.634601991,0.654575016,0.598699952
29,DART,0.652840267,0.643017705,0.645885487,0.651719535,0.63465067
30,DART,0.647392737,0.600622494,0.585540863,0.600907332,0.637838785
1,Lasso,0.560799559,0.580984491,0.580984491,0.580984491,0.580984491
2,Lasso,0.584614521,0.584614521,0.584614521,0.584614521,0.584614521
3,Lasso,0.584073238,0.584073238,0.584073238,0.584073238,0.584073238
4,Lasso,0.599675071,0.599675071,0.599675071,0.599675071,0.599675071
5,Lasso,0.605692014,0.605692014,0.589160104,0.605692014,0.605692014
6,Lasso,0.58895334,0.58895334,0.60549357,0.58895334,0.60549357
7,Lasso,0.605294926,0.605294926,0.605294926,0.588746368,0.605294926
8,Lasso,0.588539187,0.605096082,0.588539187,0.588539187,0.605096082
9,Lasso,0.604897038,0.604897038,0.604897038,0.604897038,0.604897038
10,Lasso,0.625433395,0.625433395,0.625433395,0.625433395,0.625433395
11,Lasso,0.587916391,0.625244411,0.625244411,0.587916391,0.625244411
12,Lasso,0.625055236,0.625055236,0.587708373,0.587708373,0.587708373
13,Lasso,0.6219355,0.6219355,0.6219355,0.589945189,0.589945189
14,Lasso,0.621744462,0.621744462,0.589737986,0.621744462,0.589737986
15,Lasso,0.589530573,0.621553231,0.621553231,0.589530573,0.621553231
16,Lasso,0.621361806,0.589322951,0.589322951,0.621361806,0.621361806
17,Lasso,0.589115118,0.589115118,0.621170187,0.621170187,0.589115118
18,Lasso,0.620978375,0.620978375,0.588907076,0.620978375,0.620978375
19,Lasso,0.588698822,0.62827292,0.588698822,0.588698822,0.588698822
20,Lasso,0.59074441,0.625643879,0.59074441,0.625643879,0.59074441
21,Lasso,0.590536877,0.625454043,0.590536877,0.590536877,0.625454043
22,Lasso,0.590778369,0.590778369,0.625760658,0.625760658,0.590778369
23,Lasso,0.625570689,0.625570689,0.590570642,0.625570689,0.590570642
24,Lasso,0.625380527,0.625380527,0.625380527,0.590362704,0.590362704
25,Lasso,0.590154555,0.590154555,0.625190171,0.625190171,0.625190171
26,Lasso,0.631277081,0.631277081,0.631277081,0.589946194,0.589946194
27,Lasso,0.589737622,0.589737622,0.589737622,0.638423139,0.589737622
28,Lasso,0.640726899,0.640726899,0.640726899,0.640726899,0.59203424
29,Lasso,0.591826518,0.591826518,0.591826518,0.640543969,0.591826518
30,Lasso,0.591618585,0.640360854,0.640360854,0.640360854,0.640360854
1,SSLASSO,0.580984491,0.580984491,0.580984491,0.580984491,0.580984491
2,SSLASSO,0.584614521,0.584614521,0.584614521,0.584614521,0.655095989
3,SSLASSO,0.584073238,0.584073238,0.584073238,0.584073238,0.584073238
4,SSLASSO,0.599675071,0.599675071,0.599675071,0.599675071,0.599675071
5,SSLASSO,0.605692014,0.589160104,0.605692014,0.605692014,0.605692014
6,SSLASSO,0.60549357,0.60549357,0.60549357,0.60549357,0.60549357
7,SSLASSO,0.605294926,0.605294926,0.588746368,0.605294926,0.605294926
8,SSLASSO,0.605096082,0.605096082,0.588539187,0.605096082,0.605096082
9,SSLASSO,0.604897038,0.588331798,0.604897038,0.604897038,0.604897038
10,SSLASSO,0.588124199,0.625433395,0.625433395,0.588124199,0.625433395
11,SSLASSO,0.625244411,0.625244411,0.625244411,0.625244411,0.625244411
12,SSLASSO,0.587708373,0.625055236,0.625055236,0.587708373,0.587708373
13,SSLASSO,0.589945189,0.6219355,0.589945189,0.6219355,0.6219355
14,SSLASSO,0.621744462,0.589737986,0.621744462,0.621744462,0.621744462
15,SSLASSO,0.621553231,0.621553231,0.621553231,0.621553231,0.621553231
16,SSLASSO,0.589322951,0.589322951,0.589322951,0.621361806,0.621361806
17,SSLASSO,0.589115118,0.621170187,0.589115118,0.589115118,0.621170187
18,SSLASSO,0.620978375,0.620978375,0.588907076,0.620978375,0.588907076
19,SSLASSO,0.588698822,0.62827292,0.62827292,0.560824425,0.588698822
20,SSLASSO,0.59074441,0.59074441,0.59074441,0.59074441,0.625643879
21,SSLASSO,0.590536877,0.590536877,0.590536877,0.590536877,0.590536877
22,SSLASSO,0.625760658,0.590778369,0.625760658,0.625760658,0.590778369
23,SSLASSO,0.590570642,0.590570642,0.590570642,0.590570642,0.590570642
24,SSLASSO,0.625380527,0.590362704,0.590362704,0.625380527,0.625380527
25,SSLASSO,0.590154555,0.590154555,0.590154555,0.625190171,0.590154555
26,SSLASSO,0.631277081,0.631277081,0.631277081,0.631277081,0.589946194
27,SSLASSO,0.638423139,0.638423139,0.638423139,0.589737622,0.589737622
28,SSLASSO,0.59203424,0.59203424,0.640726899,0.640726899,0.59203424
29,SSLASSO,0.591826518,0.640543969,0.640543969,0.591826518,0.640543969
30,SSLASSO,0.640360854,0.640360854,0.640360854,0.640360854,0.591618585
1,SIS,0.11090721,0.094954318,0.203964593,0.178892272,0.059840632
2,SIS,0.560578966,0.560578966,0.560578966,0.560578966,0.560578966
3,SIS,0.567888817,0.567888817,0.567888817,0.542304011,0.567888817
4,SIS,0.567671567,0.567671567,0.567671567,0.567671567,0.567671567
5,SIS,0.541843553,0.567454098,0.567454098,0.567454098,0.567454098
6,SIS,0.573932345,0.573932345,0.573932345,0.541612976,0.573932345
7,SIS,0.574824508,0.574824508,0.574824508,0.574824508,0.574824508
8,SIS,0.590232826,0.590232826,0.590232826,0.590232826,0.590232826
9,SIS,0.597006627,0.597006627,0.597006627,0.597006627,0.597006627
10,SIS,0.596803403,0.596803403,0.596803403,0.596803403,0.596803403
11,SIS,0.596599974,0.596599974,0.596599974,0.540456601,0.596599974
12,SIS,0.596396339,0.540224625,0.596396339,0.596396339,0.596396339
13,SIS,0.591577001,0.591577001,0.591577001,0.591577001,0.591577001
14,SIS,0.601910563,0.601910563,0.601910563,0.601910563,0.601910563
15,SIS,0.601709304,0.601709304,0.601709304,0.601709304,0.601709304
16,SIS,0.601507842,0.601507842,0.601507842,0.601507842,0.601507842
17,SIS,0.566858214,0.591918539,0.591918539,0.591918539,0.566858214
18,SIS,0.57174457,0.594891606,0.57174457,0.594891606,0.594891606
19,SIS,0.571527622,0.571527622,0.594686384,0.594686384,0.571527622
20,SIS,0.589993432,0.589993432,0.589993432,0.589993432,0.589993432
