n_features,method,adjusted_r_squared  run1,run 2,run 3, run  4,run5,均值,标准差
27,TVS-BART,0.900766144,0.812167361,0.823517866,0.812167361,0.898872623,0.849498271,0.046174659
28,TVS-BART,0.823343992,0.823343992,0.896967314,0.857281178,0.823343992,0.844856093,0.032627724
29,TVS-BART,0.823169775,0.823169775,0.823169775,0.85714043,0.823169775,0.829963906,0.015192139
30,TVS-BART,0.856999404,0.822995214,0.822995214,0.822995214,0.856999404,0.83659689,0.018624862
1,REVS-BART,0.015213765,0.015213765,0.015213765,0.015213765,0.015213765,0.015213765,0
2,REVS-BART,0.037461151,0.174786374,0,0.158507223,0.040766854,0.082304321,0.07885126
3,REVS-BART,0.166484356,0.201177351,0.157698096,0.06604893,0.177087267,0.1536992,0.05163138
4,REVS-BART,0.817451405,0.870748628,0.840174434,0.867505579,0.847821267,0.848740262,0.021735431
5,REVS-BART,0.882258375,0.853592948,0.880731006,0.853592948,0.817275539,0.857490163,0.026463152
6,REVS-BART,0.873164519,0.817099335,0.853451764,0.885462365,0.876119904,0.861059577,0.02719936
7,REVS-BART,0.875629166,0.88480558,0.876704238,0.878339334,0.885246533,0.88014497,0.004561762
8,REVS-BART,0.826757634,0.853168579,0.885851305,0.874774524,0.887982573,0.865706923,0.025780221
9,REVS-BART,0.853026576,0.853026576,0.853026576,0.886558818,0.878371445,0.864801998,0.016381932
10,REVS-BART,0.852884298,0.852884298,0.888757184,0.852884298,0.852884298,0.860058875,0.016042842
11,REVS-BART,0.887174106,0.826254023,0.826254023,0.852741744,0.852741744,0.849033128,0.025099886
12,REVS-BART,0.888337341,0.852598913,0.891288008,0.894793337,0.852598913,0.875923303,0.021414452
13,REVS-BART,0.852455805,0.825916652,0.852455805,0.852455805,0.852455805,0.847147975,0.01186867
14,REVS-BART,0.825747475,0.888848704,0.892424843,0.852312419,0.888029096,0.869472508,0.029380864
15,REVS-BART,0.885264846,0.852168754,0.852168754,0.825577968,0.825577968,0.848151658,0.024641458
16,REVS-BART,0.85202481,0.825408132,0.8980015,0.890358089,0.894574019,0.87207331,0.031986197
17,REVS-BART,0.887213887,0.825237964,0.894823523,0.895455745,0.851880584,0.870922341,0.031177795
18,REVS-BART,0.851736078,0.825067465,0.891273059,0.825067465,0.858673557,0.850363525,0.027496872
19,REVS-BART,0.898342367,0.898571167,0.824896632,0.889911942,0.824896632,0.867323748,0.038887346
20,REVS-BART,0.858397259,0.851446217,0.824725466,0.858397259,0.89807489,0.858208218,0.026249964
21,REVS-BART,0.896875144,0.851300861,0.896537149,0.893305854,0.824553964,0.872514594,0.032988788
22,REVS-BART,0.898273139,0.824382127,0.85115522,0.824382127,0.824382127,0.844514948,0.032210355
23,REVS-BART,0.824209952,0.824209952,0.824209952,0.851009294,0.851009294,0.834929689,0.014678604
24,REVS-BART,0.89846863,0.82403744,0.82403744,0.857841409,0.82403744,0.845684472,0.032938353
25,REVS-BART,0.823864589,0.899071302,0.857701764,0.857701764,0.898445615,0.867357007,0.031821125
26,REVS-BART,0.857561845,0.823691398,0.823691398,0.857561845,0.823691398,0.837239576,0.018551608
27,REVS-BART,0.897541914,0.823517866,0.823517866,0.823517866,0.823517866,0.838322675,0.033104561
28,REVS-BART,0.823343992,0.811982304,0.823343992,0.823343992,0.89759485,0.835921826,0.034825523
29,REVS-BART,0.900570416,0.823169775,0.823169775,0.823169775,0.899942261,0.8540044,0.042222634
30,REVS-BART,0.822995214,0.822995214,0.897867259,0.897238484,0.897867259,0.867792686,0.040895116
1,BART,0.833504721,0.833504721,0.833504721,0.833504721,0.833504721,0.833504721,0
2,BART,0.835950939,0.835950939,0.835950939,0.866184472,0.8345928,0.841726018,0.013685333
3,BART,0.838150467,0.870872909,0.867176461,0.834788219,0.834433755,0.849084362,0.018307341
4,BART,0.844319159,0.873531699,0.842087349,0.882828252,0.838262969,0.856205886,0.020442051
5,BART,0.85122187,0.877789374,0.875764051,0.871287022,0.87354645,0.869921753,0.010732194
6,BART,0.886447198,0.853451764,0.873951339,0.853451764,0.853451764,0.864150766,0.015301863
7,BART,0.84852376,0.853310308,0.853310308,0.853310308,0.853310308,0.852352999,0.002140609
8,BART,0.885785475,0.879843379,0.851786884,0.853168579,0.853168579,0.864750579,0.016632816
9,BART,0.853026576,0.887172391,0.853026576,0.853026576,0.890424404,0.867335305,0.01962674
10,BART,0.893205221,0.852884298,0.897732019,0.852884298,0.826422218,0.864625611,0.030199522
11,BART,0.898663264,0.891460171,0.826254023,0.859632167,0.826254023,0.86045273,0.034501024
12,BART,0.852598913,0.826085501,0.888549688,0.899003734,0.886817149,0.870610997,0.030403694
13,BART,0.825916652,0.894993905,0.825916652,0.825916652,0.884399701,0.851428712,0.035134057
14,BART,0.852312419,0.852312419,0.852312419,0.896171871,0.825747475,0.855771321,0.025345255
15,BART,0.852168754,0.891578212,0.852168754,0.825577968,0.852168754,0.854732489,0.023597201
16,BART,0.858948779,0.825408132,0.85202481,0.894749812,0.85202481,0.856631269,0.024878291
17,BART,0.851880584,0.825237964,0.825237964,0.825237964,0.851880584,0.835895012,0.014592764
18,BART,0.897252785,0.851736078,0.894265461,0.858673557,0.825067465,0.865399069,0.030440417
19,BART,0.851591289,0.851591289,0.858535543,0.824896632,0.824896632,0.842302277,0.016140038
20,BART,0.813452628,0.851446217,0.824725466,0.858397259,0.824725466,0.834549407,0.019315253
21,BART,0.851300861,0.824553964,0.889696506,0.824553964,0.894180148,0.856857089,0.033872162
22,BART,0.824382127,0.898667516,0.898346105,0.824382127,0.893625544,0.867880684,0.039758702
23,BART,0.824209952,0.824209952,0.824209952,0.85798078,0.824209952,0.830964118,0.015102773
24,BART,0.857841409,0.812720352,0.82403744,0.82403744,0.82403744,0.828534816,0.017100094
25,BART,0.896860469,0.823864589,0.850716581,0.823864589,0.898672223,0.85879569,0.037231374
26,BART,0.89897206,0.90134982,0.898268961,0.823691398,0.898268961,0.88411024,0.033798861
27,BART,0.85742165,0.823517866,0.823517866,0.903850035,0.823517866,0.846365056,0.035329709
28,BART,0.900668376,0.857281178,0.811982304,0.850275349,0.857281178,0.855497677,0.0314945
29,BART,0.823169775,0.823169775,0.823169775,0.811796883,0.823169775,0.820895196,0.005086112
30,BART,0.849979743,0.822995214,0.822995214,0.897867259,0.822995214,0.843366529,0.032630644
1,DART,0.833504721,0.833504721,0.833504721,0.833504721,0.833504721,0.833504721,0
2,DART,0.833344783,0.866184472,0.836897689,0.835950939,0.866184472,0.847712471,0.016912667
3,DART,0.834376336,0.869964252,0.840023725,0.840328112,0.866055803,0.850149646,0.01653344
4,DART,0.869731643,0.843703321,0.870895776,0.870483727,0.853733859,0.861709665,0.0123851
5,DART,0.853592948,0.817275539,0.838864441,0.880731006,0.869346118,0.85196201,0.025036073
6,DART,0.842493973,0.853451764,0.853451764,0.882547535,0.853451764,0.85707936,0.015006997
7,DART,0.858935332,0.884624858,0.853310308,0.853310308,0.88473615,0.866983391,0.016317624
8,DART,0.86003903,0.853168579,0.816745903,0.892537009,0.89068127,0.862634358,0.031156399
9,DART,0.816568675,0.853026576,0.880603164,0.853026576,0.853026576,0.851250313,0.022769888
10,DART,0.887174614,0.852884298,0.815258508,0.891725697,0.852884298,0.859985483,0.03101631
11,DART,0.895835978,0.826254023,0.826254023,0.852741744,0.896855902,0.859588334,0.035256176
12,DART,0.859496019,0.892662402,0.88377682,0.896956235,0.852598913,0.877098078,0.019945186
13,DART,0.852455805,0.852455805,0.852455805,0.887500145,0.890588801,0.867091272,0.020070168
14,DART,0.825747475,0.859222931,0.89169571,0.886068561,0.852312419,0.863009419,0.02679479
15,DART,0.81435996,0.859085988,0.852168754,0.815498064,0.852168754,0.838656304,0.021846974
16,DART,0.86838365,0.85202481,0.825408132,0.85202481,0.815318413,0.842631963,0.021692688
17,DART,0.858811302,0.825237964,0.858811302,0.825237964,0.815138411,0.836647389,0.020648633
18,DART,0.858673557,0.858673557,0.825067465,0.895835867,0.858673557,0.859384801,0.025039356
19,DART,0.858535543,0.824896632,0.851591289,0.884564716,0.824896632,0.848896962,0.025121614
20,DART,0.858397259,0.824725466,0.896097527,0.824725466,0.896638286,0.860116801,0.035834625
21,DART,0.89857001,0.858258705,0.900346454,0.824553964,0.858258705,0.867997567,0.031851853
22,DART,0.824382127,0.858119879,0.824382127,0.858119879,0.824382127,0.837877228,0.018478928
23,DART,0.89839957,0.85798078,0.897816781,0.824209952,0.824209952,0.860523407,0.036977015
24,DART,0.857841409,0.813868508,0.896961685,0.850863081,0.896850192,0.863276975,0.034952351
25,DART,0.898199963,0.898368894,0.897896634,0.823864589,0.857701764,0.875206369,0.033624566
26,DART,0.89884649,0.823691398,0.813502468,0.900390994,0.823691398,0.852024549,0.043649435
27,DART,0.823517866,0.897695643,0.823517866,0.85742165,0.823517866,0.845134178,0.032846173
28,DART,0.89759485,0.89759485,0.811982304,0.89759485,0.823343992,0.865622169,0.043964293
29,DART,0.85714043,0.85714043,0.823169775,0.897967982,0.897493859,0.866582495,0.03163673
30,DART,0.822995214,0.856999404,0.897392668,0.822995214,0.856999404,0.851476381,0.030788256
1,Lasso,0.833504721,0.833504721,0.833504721,0.833504721,0.833504721,0.833504721,0
2,Lasso,0.835950939,0.835950939,0.835950939,0.835950939,0.835950939,0.835950939,0
3,Lasso,0.840328112,0.840328112,0.840328112,0.840328112,0.840328112,0.840328112,0
4,Lasso,0.840174434,0.840174434,0.840174434,0.840174434,0.840174434,0.840174434,0
5,Lasso,0.817275539,0.817275539,0.817275539,0.845368441,0.845368441,0.8285127,0.015387116
6,Lasso,0.8595767,0.817099335,0.8595767,0.806839859,0.8595767,0.840533859,0.026326564
7,Lasso,0.806653411,0.862657513,0.81692279,0.81692279,0.862657513,0.833162803,0.027249311
8,Lasso,0.816745903,0.816745903,0.816745903,0.816745903,0.816745903,0.816745903,0
9,Lasso,0.816568675,0.816568675,0.806279433,0.816568675,0.816568675,0.814510827,0.004601489
10,Lasso,0.816391104,0.816391104,0.816391104,0.816391104,0.816391104,0.816391104,0
11,Lasso,0.816213188,0.816213188,0.816213188,0.816213188,0.816213188,0.816213188,0
12,Lasso,0.816034927,0.816034927,0.816034927,0.816034927,0.816034927,0.816034927,0
13,Lasso,0.81585632,0.81585632,0.81585632,0.81585632,0.81585632,0.81585632,0
14,Lasso,0.815677366,0.815677366,0.815677366,0.815677366,0.815677366,0.815677366,0
15,Lasso,0.815498064,0.815498064,0.815498064,0.805148768,0.815498064,0.813428205,0.004628346
16,Lasso,0.815318413,0.815318413,0.815318413,0.815318413,0.80495904,0.813246538,0.004632852
17,Lasso,0.815138411,0.804768941,0.815138411,0.815138411,0.815138411,0.813064517,0.004637368
18,Lasso,0.814958058,0.814958058,0.804578472,0.814958058,0.814958058,0.812882141,0.004641892
19,Lasso,0.814777353,0.814777353,0.814777353,0.814777353,0.804387631,0.812699409,0.004646425
20,Lasso,0.814596295,0.814596295,0.814596295,0.814596295,0.804196416,0.812516319,0.004650967
21,Lasso,0.814414883,0.814414883,0.814414883,0.814414883,0.814414883,0.814414883,0
22,Lasso,0.803812864,0.814233115,0.814233115,0.814233115,0.814233115,0.812149064,0.004660078
23,Lasso,0.803620523,0.81405099,0.81405099,0.81405099,0.81405099,0.811964897,0.004664647
24,Lasso,0.813868508,0.803427805,0.813868508,0.813868508,0.803427805,0.809692227,0.005718609
25,Lasso,0.813685668,0.803234709,0.813685668,0.813685668,0.813685668,0.811595476,0.004673811
26,Lasso,0.823691398,0.823691398,0.823691398,0.89475892,0.823691398,0.837904902,0.031782362
27,Lasso,0.823517866,0.85742165,0.899543319,0.85742165,0.85742165,0.859065227,0.026973111
28,Lasso,0.823343992,0.823343992,0.823343992,0.823343992,0.823343992,0.823343992,0
29,Lasso,0.823169775,0.823169775,0.823169775,0.823169775,0.811796883,0.820895196,0.005086112
30,Lasso,0.822995214,0.897867259,0.822995214,0.856999404,0.822995214,0.844770461,0.033133447
1,SSLASSO,0.833504721,0.833504721,0.833504721,0.833504721,0.833504721,0.833504721,0
2,SSLASSO,0.835950939,0.835950939,0.835950939,0.835950939,0.835950939,0.835950939,0
3,SSLASSO,0.840328112,0.840328112,0.817626933,0.840328112,0.840328112,0.835787876,0.010152276
4,SSLASSO,0.840174434,0.840174434,0.840174434,0.840174434,0.840174434,0.840174434,0
5,SSLASSO,0.817275539,0.817275539,0.817275539,0.817275539,0.817275539,0.817275539,0
6,SSLASSO,0.8595767,0.817099335,0.817099335,0.8595767,0.817099335,0.834090281,0.023265811
7,SSLASSO,0.862657513,0.862657513,0.81692279,0.81692279,0.81692279,0.835216679,0.025049939
8,SSLASSO,0.816745903,0.816745903,0.816745903,0.816745903,0.816745903,0.816745903,0
9,SSLASSO,0.816568675,0.816568675,0.816568675,0.816568675,0.816568675,0.816568675,0
10,SSLASSO,0.816391104,0.816391104,0.816391104,0.816391104,0.816391104,0.816391104,0
11,SSLASSO,0.816213188,0.816213188,0.816213188,0.816213188,0.816213188,0.816213188,0
12,SSLASSO,0.816034927,0.816034927,0.816034927,0.816034927,0.816034927,0.816034927,0
13,SSLASSO,0.81585632,0.81585632,0.81585632,0.81585632,0.81585632,0.81585632,0
14,SSLASSO,0.815677366,0.815677366,0.815677366,0.815677366,0.815677366,0.815677366,0
15,SSLASSO,0.815498064,0.815498064,0.815498064,0.805148768,0.815498064,0.813428205,0.004628346
16,SSLASSO,0.815318413,0.815318413,0.815318413,0.815318413,0.815318413,0.815318413,0
17,SSLASSO,0.815138411,0.815138411,0.815138411,0.815138411,0.815138411,0.815138411,0
18,SSLASSO,0.814958058,0.814958058,0.814958058,0.804578472,0.814958058,0.812882141,0.004641892
19,SSLASSO,0.814777353,0.814777353,0.814777353,0.814777353,0.814777353,0.814777353,0
20,SSLASSO,0.814596295,0.814596295,0.814596295,0.814596295,0.814596295,0.814596295,0
21,SSLASSO,0.814414883,0.804004828,0.804004828,0.804004828,0.804004828,0.806086839,0.004655518
22,SSLASSO,0.814233115,0.814233115,0.814233115,0.814233115,0.814233115,0.814233115,0
23,SSLASSO,0.81405099,0.81405099,0.81405099,0.803620523,0.81405099,0.811964897,0.004664647
24,SSLASSO,0.813868508,0.813868508,0.813868508,0.813868508,0.813868508,0.813868508,0
25,SSLASSO,0.813685668,0.803234709,0.803234709,0.813685668,0.803234709,0.807415093,0.005724226
26,SSLASSO,0.857561845,0.823691398,0.857561845,0.823691398,0.823691398,0.837239576,0.018551608
27,SSLASSO,0.85742165,0.823517866,0.823517866,0.899543319,0.823517866,0.845503713,0.033587381
28,SSLASSO,0.857281178,0.823343992,0.823343992,0.823343992,0.823343992,0.830131429,0.015177171
29,SSLASSO,0.811796883,0.823169775,0.823169775,0.823169775,0.823169775,0.820895196,0.005086112
30,SSLASSO,0.897867259,0.822995214,0.897867259,0.822995214,0.822995214,0.852944032,0.041009108
1,SIS,0,0.833504721,0.009324258,0.013768762,0,0.171319548,0.370221117
2,SIS,0.012821374,0.021580578,0.833344783,0.842390736,0.663708601,0.474769214,0.423732186
3,SIS,0.838150467,0.02063979,0.044011915,0.842239189,0.72730264,0.4944688,0.424469747
4,SIS,0.84253397,0.839172316,0.061568831,0.019891447,0.837839541,0.520201221,0.437946516
5,SIS,0.069664057,0.650195278,0.847428843,0.057351726,0.837683317,0.492464644,0.399417719
6,SIS,0,0.649857954,0.806839859,0,0.84412111,0.460163785,0.42634869
7,SIS,0.154445965,0.81692279,0.853310308,0.853310308,0.878259382,0.711249751,0.312030394
8,SIS,0.153629004,0.816745903,0.889777774,0.853168579,0.853168579,0.713297968,0.313928145
9,SIS,0.826590088,0.888461606,0.765876775,0,0.648842068,0.625954108,0.360931344
10,SIS,0.852884298,0.888231735,0.886337987,0.703268425,0.816391104,0.82942271,0.076375753
