n_features,method,均值,标准差,method,均值,标准差,method,均值,标准差,method,均值,标准差,method,均值,标准差,method,均值,标准差,method,均值,标准差,method,均值,标准差,method,均值,标准差
12,REVS-BART,0.637601197,0.004594057,REVS-RF,0.621925464,6.03E-05,BART,0.626822544,0.017959118,TVS-RF,0.625060812,0.005639535,TVS-BART,0.619680761,0.020304962,DART,0.630517672,0.014214128,Lasso,0.602647118,0.020455719,SSLASSO,0.602647118,0.020455719,SIS,0.585161997,0.025120754
13,REVS-BART,0.611522811,0.025986755,REVS-RF,0.626402871,6.83E-06,BART,0.626749412,0.010039045,TVS-RF,0.630152333,0.021009999,TVS-BART,0.61960866,0.018304097,DART,0.635926547,0.013475513,Lasso,0.609139376,0.017521815,SSLASSO,0.609139376,0.017521815,SIS,0.591577001,0
14,REVS-BART,0.630291589,0.023480507,REVS-RF,0.62903721,6.27E-05,BART,0.633678825,0.016112812,TVS-RF,0.625498931,0.012427079,TVS-BART,0.626443574,0.021143624,DART,0.639771938,0.011123958,Lasso,0.608941871,0.017530669,SSLASSO,0.615343167,0.014313731,SIS,0.601910563,0
15,REVS-BART,0.618587947,0.019693181,REVS-RF,0.626054821,3.78E-05,BART,0.627030262,0.019578022,TVS-RF,0.643938315,0.018634375,TVS-BART,0.62255039,0.018932869,DART,0.625998602,0.02653604,Lasso,0.608744168,0.017539532,SSLASSO,0.621553231,0,SIS,0.601709304,0
16,REVS-BART,0.632006998,0.016905896,REVS-RF,0.634215571,4.42E-05,BART,0.636903531,0.010715675,TVS-RF,0.617041046,0.023740287,TVS-BART,0.646194144,0.009077696,DART,0.62833339,0.023044882,Lasso,0.608546264,0.017548403,SSLASSO,0.602138493,0.017548403,SIS,0.601507842,0
17,REVS-BART,0.647112745,0.008954513,REVS-RF,0.605141856,0.000271082,BART,0.622725269,0.020160423,TVS-RF,0.625229308,0.01803655,TVS-BART,0.623991324,0.027552644,DART,0.63340321,0.007489926,Lasso,0.601937146,0.017557284,SSLASSO,0.601937146,0.017557284,SIS,0.581894409,0.013726105
18,REVS-BART,0.648263715,0.006385649,REVS-RF,0.610866342,0.000495295,BART,0.628642935,0.022721219,TVS-RF,0.617547661,0.020234295,TVS-BART,0.639358146,0.022154517,DART,0.63629219,0.00446486,Lasso,0.614564115,0.014342721,SSLASSO,0.608149855,0.017566174,SIS,0.585632792,0.012678154
19,REVS-BART,0.635360764,0.025221538,REVS-RF,0.627659944,0.000187867,BART,0.631664419,0.020886418,TVS-RF,0.629825512,0.019673358,TVS-BART,0.646080475,0.007194662,DART,0.621963792,0.027005519,Lasso,0.596613641,0.017698075,SSLASSO,0.598953582,0.029083501,SIS,0.580791127,0.012684577
20,REVS-BART,0.639081429,0.025010101,REVS-RF,0.619709037,0.000379963,BART,0.605163896,0.026792632,TVS-RF,0.624829404,0.019976364,TVS-BART,0.632641949,0.018114266,DART,0.632161523,0.032159051,Lasso,0.604704197,0.019115226,SSLASSO,0.597724304,0.015607517,SIS,0.589993432,0
21,REVS-BART,0.618883355,0.028661116,REVS-RF,0.619276547,0.000182402,BART,0.641829909,0.008517778,TVS-RF,0.639603186,0.006254258,TVS-BART,0.619955374,0.030983791,DART,0.623329295,0.021750647,Lasso,0.604503743,0.01912492,SSLASSO,0.590536877,0,SIS,0.578570047,0.010238278
