run_id,n_features,method,accuracy,baseline_accuracy
4,19,TVS-RF,0.699561404,0.815789474
4,20,TVS-RF,0.783991228,0.815789474
4,21,TVS-RF,0.699561404,0.815789474
4,22,TVS-RF,0.691885965,0.815789474
4,23,TVS-RF,0.697368421,0.815789474
4,24,TVS-RF,0.776315789,0.815789474
4,25,TVS-RF,0.815789474,0.815789474
4,26,TVS-RF,0.691885965,0.815789474
4,27,TVS-RF,0.710526316,0.815789474
4,28,TVS-RF,0.786184211,0.815789474
4,29,TVS-RF,0.790570175,0.815789474
4,30,TVS-RF,0.783991228,0.815789474
4,1,REVS-RF,0.582236842,0.815789474
4,2,REVS-RF,0.734649123,0.815789474
4,3,REVS-RF,0.782894737,0.815789474
4,4,REVS-RF,0.790570175,0.815789474
4,5,REVS-RF,0.808114035,0.815789474
4,6,REVS-RF,0.814692982,0.815789474
4,7,REVS-RF,0.791666667,0.815789474
4,8,REVS-RF,0.82127193,0.815789474
4,9,REVS-RF,0.80372807,0.815789474
4,10,REVS-RF,0.815789474,0.815789474
4,11,REVS-RF,0.820175439,0.815789474
4,12,REVS-RF,0.80372807,0.815789474
4,13,REVS-RF,0.813596491,0.815789474
4,14,REVS-RF,0.816885965,0.815789474
4,15,REVS-RF,0.820175439,0.815789474
4,16,REVS-RF,0.816885965,0.815789474
4,17,REVS-RF,0.809210526,0.815789474
4,18,REVS-RF,0.809210526,0.815789474
4,19,REVS-RF,0.815789474,0.815789474
4,20,REVS-RF,0.809210526,0.815789474
4,21,REVS-RF,0.809210526,0.815789474
4,22,REVS-RF,0.813596491,0.815789474
4,23,REVS-RF,0.815789474,0.815789474
4,24,REVS-RF,0.815789474,0.815789474
4,25,REVS-RF,0.824561404,0.815789474
4,26,REVS-RF,0.775219298,0.815789474
4,27,REVS-RF,0.815789474,0.815789474
4,28,REVS-RF,0.815789474,0.815789474
4,29,REVS-RF,0.775219298,0.815789474
4,30,REVS-RF,0.809210526,0.815789474
4,1,Logistic,0.535087719,0.815789474
4,2,Logistic,0.592105263,0.815789474
4,3,Logistic,0.581140351,0.815789474
4,4,Logistic,0.603070175,0.815789474
4,5,Logistic,0.655701754,0.815789474
4,6,Logistic,0.629385965,0.815789474
4,7,Logistic,0.631578947,0.815789474
4,8,Logistic,0.650219298,0.815789474
4,9,Logistic,0.746710526,0.815789474
4,10,Logistic,0.706140351,0.815789474
4,11,Logistic,0.774122807,0.815789474
4,12,Logistic,0.776315789,0.815789474
4,13,Logistic,0.734649123,0.815789474
4,14,Logistic,0.764254386,0.815789474
4,15,Logistic,0.694078947,0.815789474
4,16,Logistic,0.764254386,0.815789474
4,17,Logistic,0.69627193,0.815789474
4,18,Logistic,0.701754386,0.815789474
4,19,Logistic,0.782894737,0.815789474
4,20,Logistic,0.799342105,0.815789474
4,21,Logistic,0.67872807,0.815789474
4,22,Logistic,0.777412281,0.815789474
4,23,Logistic,0.816885965,0.815789474
4,24,Logistic,0.764254386,0.815789474
4,25,Logistic,0.804824561,0.815789474
4,26,Logistic,0.701754386,0.815789474
4,27,Logistic,0.799342105,0.815789474
4,28,Logistic,0.788377193,0.815789474
4,29,Logistic,0.797149123,0.815789474
4,30,Logistic,0.815789474,0.815789474
4,1,RandomForest,0.701754386,0.815789474
4,2,RandomForest,0.770833333,0.815789474
4,3,RandomForest,0.805921053,0.815789474
4,4,RandomForest,0.8125,0.815789474
4,5,RandomForest,0.819078947,0.815789474
4,6,RandomForest,0.80372807,0.815789474
4,7,RandomForest,0.813596491,0.815789474
4,8,RandomForest,0.819078947,0.815789474
4,9,RandomForest,0.8125,0.815789474
4,10,RandomForest,0.791666667,0.815789474
4,11,RandomForest,0.815789474,0.815789474
4,12,RandomForest,0.813596491,0.815789474
4,13,RandomForest,0.813596491,0.815789474
4,14,RandomForest,0.824561404,0.815789474
4,15,RandomForest,0.825657895,0.815789474
4,16,RandomForest,0.809210526,0.815789474
4,17,RandomForest,0.824561404,0.815789474
4,18,RandomForest,0.815789474,0.815789474
4,19,RandomForest,0.775219298,0.815789474
4,20,RandomForest,0.813596491,0.815789474
4,21,RandomForest,0.813596491,0.815789474
4,22,RandomForest,0.791666667,0.815789474
4,23,RandomForest,0.815789474,0.815789474
4,24,RandomForest,0.815789474,0.815789474
4,25,RandomForest,0.815789474,0.815789474
4,26,RandomForest,0.775219298,0.815789474
4,27,RandomForest,0.824561404,0.815789474
4,28,RandomForest,0.815789474,0.815789474
4,29,RandomForest,0.815789474,0.815789474
4,30,RandomForest,0.815789474,0.815789474
4,1,SVM,0.701754386,0.815789474
4,2,SVM,0.751096491,0.815789474
4,3,SVM,0.790570175,0.815789474
4,4,SVM,0.80372807,0.815789474
4,5,SVM,0.80372807,0.815789474
4,6,SVM,0.80372807,0.815789474
4,7,SVM,0.775219298,0.815789474
4,8,SVM,0.807017544,0.815789474
4,9,SVM,0.80372807,0.815789474
4,10,SVM,0.807017544,0.815789474
4,11,SVM,0.80372807,0.815789474
4,12,SVM,0.80372807,0.815789474
4,13,SVM,0.80372807,0.815789474
4,14,SVM,0.80372807,0.815789474
4,15,SVM,0.775219298,0.815789474
4,16,SVM,0.775219298,0.815789474
4,17,SVM,0.80372807,0.815789474
4,18,SVM,0.80372807,0.815789474
4,19,SVM,0.775219298,0.815789474
4,20,SVM,0.80372807,0.815789474
4,21,SVM,0.815789474,0.815789474
4,22,SVM,0.791666667,0.815789474
4,23,SVM,0.815789474,0.815789474
4,24,SVM,0.80372807,0.815789474
4,25,SVM,0.83004386,0.815789474
4,26,SVM,0.775219298,0.815789474
4,27,SVM,0.775219298,0.815789474
4,28,SVM,0.775219298,0.815789474
4,29,SVM,0.816885965,0.815789474
4,30,SVM,0.816885965,0.815789474
5,1,TVS-RF,0.585526316,0.815789474
5,2,TVS-RF,0.582236842,0.815789474
5,3,TVS-RF,0.643640351,0.815789474
5,4,TVS-RF,0.596491228,0.815789474
5,5,TVS-RF,0.615131579,0.815789474
