run_id,n_features,method,accuracy,baseline_accuracy
2,15,REVS-RF,0.528795812,0.502617801
2,16,REVS-RF,0.502617801,0.502617801
2,17,REVS-RF,0.528795812,0.502617801
2,18,REVS-RF,0.502617801,0.502617801
2,19,REVS-RF,0.502617801,0.502617801
2,20,REVS-RF,0.502617801,0.502617801
2,21,REVS-RF,0.528795812,0.502617801
2,22,REVS-RF,0.502617801,0.502617801
2,23,REVS-RF,0.458115183,0.502617801
2,24,REVS-RF,0.502617801,0.502617801
2,25,REVS-RF,0.502617801,0.502617801
2,26,REVS-RF,0.502617801,0.502617801
2,27,REVS-RF,0.539267016,0.502617801
2,28,REVS-RF,0.502617801,0.502617801
2,29,REVS-RF,0.458115183,0.502617801
2,30,REVS-RF,0.502617801,0.502617801
3,1,REVS-RF,0.361256545,0.502617801
3,2,REVS-RF,0.458115183,0.502617801
3,3,REVS-RF,0.513089005,0.502617801
3,4,REVS-RF,0.484293194,0.502617801
3,5,REVS-RF,0.502617801,0.502617801
3,6,REVS-RF,0.502617801,0.502617801
3,7,REVS-RF,0.484293194,0.502617801
3,8,REVS-RF,0.502617801,0.502617801
3,9,REVS-RF,0.528795812,0.502617801
3,10,REVS-RF,0.547120419,0.502617801
3,11,REVS-RF,0.528795812,0.502617801
3,12,REVS-RF,0.502617801,0.502617801
3,13,REVS-RF,0.528795812,0.502617801
3,14,REVS-RF,0.502617801,0.502617801
3,15,REVS-RF,0.502617801,0.502617801
3,16,REVS-RF,0.502617801,0.502617801
3,17,REVS-RF,0.484293194,0.502617801
3,18,REVS-RF,0.502617801,0.502617801
3,19,REVS-RF,0.502617801,0.502617801
3,20,REVS-RF,0.502617801,0.502617801
3,21,REVS-RF,0.528795812,0.502617801
3,22,REVS-RF,0.484293194,0.502617801
3,23,REVS-RF,0.502617801,0.502617801
3,24,REVS-RF,0.502617801,0.502617801
3,25,REVS-RF,0.502617801,0.502617801
3,26,REVS-RF,0.458115183,0.502617801
3,27,REVS-RF,0.591623037,0.502617801
3,28,REVS-RF,0.484293194,0.502617801
3,29,REVS-RF,0.502617801,0.502617801
3,30,REVS-RF,0.502617801,0.502617801
4,1,REVS-RF,0.361256545,0.502617801
4,2,REVS-RF,0.458115183,0.502617801
4,3,REVS-RF,0.502617801,0.502617801
4,4,REVS-RF,0.513089005,0.502617801
4,5,REVS-RF,0.510471204,0.502617801
4,6,REVS-RF,0.513089005,0.502617801
4,7,REVS-RF,0.547120419,0.502617801
4,8,REVS-RF,0.528795812,0.502617801
4,9,REVS-RF,0.528795812,0.502617801
4,10,REVS-RF,0.528795812,0.502617801
4,11,REVS-RF,0.528795812,0.502617801
4,12,REVS-RF,0.528795812,0.502617801
4,13,REVS-RF,0.591623037,0.502617801
4,14,REVS-RF,0.502617801,0.502617801
4,15,REVS-RF,0.458115183,0.502617801
4,16,REVS-RF,0.528795812,0.502617801
4,17,REVS-RF,0.528795812,0.502617801
4,18,REVS-RF,0.502617801,0.502617801
4,19,REVS-RF,0.502617801,0.502617801
4,20,REVS-RF,0.502617801,0.502617801
4,21,REVS-RF,0.484293194,0.502617801
4,22,REVS-RF,0.502617801,0.502617801
4,23,REVS-RF,0.502617801,0.502617801
4,24,REVS-RF,0.502617801,0.502617801
4,25,REVS-RF,0.484293194,0.502617801
4,26,REVS-RF,0.502617801,0.502617801
4,27,REVS-RF,0.502617801,0.502617801
4,28,REVS-RF,0.502617801,0.502617801
4,29,REVS-RF,0.484293194,0.502617801
4,30,REVS-RF,0.502617801,0.502617801
5,1,REVS-RF,0.361256545,0.502617801
5,2,REVS-RF,0.494764398,0.502617801
5,3,REVS-RF,0.513089005,0.502617801
5,4,REVS-RF,0.502617801,0.502617801
5,5,REVS-RF,0.502617801,0.502617801
5,6,REVS-RF,0.513089005,0.502617801
5,7,REVS-RF,0.528795812,0.502617801
5,8,REVS-RF,0.502617801,0.502617801
5,9,REVS-RF,0.528795812,0.502617801
5,10,REVS-RF,0.502617801,0.502617801
5,11,REVS-RF,0.528795812,0.502617801
5,12,REVS-RF,0.528795812,0.502617801
5,13,REVS-RF,0.502617801,0.502617801
5,14,REVS-RF,0.528795812,0.502617801
5,15,REVS-RF,0.502617801,0.502617801
5,16,REVS-RF,0.528795812,0.502617801
5,17,REVS-RF,0.502617801,0.502617801
5,18,REVS-RF,0.502617801,0.502617801
5,19,REVS-RF,0.502617801,0.502617801
5,20,REVS-RF,0.502617801,0.502617801
5,21,REVS-RF,0.502617801,0.502617801
5,22,REVS-RF,0.502617801,0.502617801
5,23,REVS-RF,0.502617801,0.502617801
5,24,REVS-RF,0.502617801,0.502617801
5,25,REVS-RF,0.458115183,0.502617801
5,26,REVS-RF,0.502617801,0.502617801
5,27,REVS-RF,0.502617801,0.502617801
5,28,REVS-RF,0.502617801,0.502617801
5,29,REVS-RF,0.458115183,0.502617801
5,30,REVS-RF,0.502617801,0.502617801
