n_features,method,r_squared,adjusted_r_squared
21,REVS-RF,0.861112556,0.858258705
22,REVS-RF,0.828086435,0.824382127
23,REVS-RF,0.817029759,0.81290396
24,REVS-RF,0.828086435,0.82403744
25,REVS-RF,0.900804922,0.898368894
26,REVS-RF,0.904265891,0.901818411
27,REVS-RF,0.861112556,0.85742165
28,REVS-RF,0.900804922,0.898068506
29,REVS-RF,0.828086435,0.823169775
30,REVS-RF,0.828086435,0.822995214
