n_features,method,r_squared,adjusted_r_squared
8,REVS-BART,0.621347165,0.619821108
9,REVS-BART,0.600360161,0.598547278
10,REVS-BART,0.626907227,0.625025771
11,REVS-BART,0.656394959,0.654487969
12,REVS-BART,0.605773728,0.603385684
13,REVS-BART,0.645921811,0.643597055
14,REVS-BART,0.63391957,0.631329814
15,REVS-BART,0.648033817,0.64536471
16,REVS-BART,0.643431027,0.640545289
17,REVS-BART,0.6498383,0.646825776
18,REVS-BART,0.643687563,0.640440159
19,REVS-BART,0.599729181,0.595876524
20,REVS-BART,0.598988175,0.594923179
21,REVS-BART,0.657710872,0.654065805
22,REVS-BART,0.610258471,0.605908236
23,REVS-BART,0.654725647,0.650694525
24,REVS-BART,0.653393555,0.649168794
25,REVS-BART,0.658589838,0.654252818
26,REVS-BART,0.640494957,0.635742984
27,REVS-BART,0.599729181,0.594232075
28,REVS-BART,0.599729181,0.594025577
29,REVS-BART,0.654725647,0.649627401
30,REVS-BART,0.662349732,0.657189513
1,REVS-RF,0.219007903,0.218615839
2,REVS-RF,0.493289455,0.492780454
3,REVS-RF,0.526585746,0.525872056
4,REVS-RF,0.602566769,0.601767507
5,REVS-RF,0.610325681,0.609345614
6,REVS-RF,0.628636901,0.627515523
7,REVS-RF,0.613575426,0.612213406
8,REVS-RF,0.618997925,0.6174624
9,REVS-RF,0.640351327,0.638719856
10,REVS-RF,0.616385772,0.614451257
11,REVS-RF,0.624380667,0.622295999
12,REVS-RF,0.616503573,0.614180526
13,REVS-RF,0.630374942,0.627948111
14,REVS-RF,0.644391386,0.641875711
15,REVS-RF,0.630374942,0.627571921
16,REVS-RF,0.628693413,0.625688403
17,REVS-RF,0.608901669,0.605536957
18,REVS-RF,0.636577655,0.633265451
19,REVS-RF,0.608901669,0.605137298
20,REVS-RF,0.634642906,0.630939337
21,REVS-RF,0.608901669,0.604736829
22,REVS-RF,0.640990387,0.636983177
23,REVS-RF,0.608901669,0.604335547
24,REVS-RF,0.635048043,0.630599669
25,REVS-RF,0.599729181,0.59464444
26,REVS-RF,0.642709857,0.637987161
27,REVS-RF,0.608901669,0.603530533
28,REVS-RF,0.642861774,0.637772781
29,REVS-RF,0.599729181,0.593818869
30,REVS-RF,0.599729181,0.59361195
